Table 112,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Persons Killed, by State and Age Group, 2013",,,,,,,,,,,,,
,,,,,,,,,,,,,
State,Age Group (Years),,,,,,,,,,,,Total Killed
,<5,9-May,15-Oct,16-20,21-24,25-34,35-44,45-54,55-64,65-74,>74,Unknown,
Alabama,16,11,22,75,87,170,141,126,102,48,54,1,853
Alaska,1,0,4,6,3,12,7,4,10,3,1,0,51
Arizona,14,16,22,75,70,142,96,126,127,82,77,2,849
Arkansas,7,8,12,46,36,100,73,69,59,45,43,0,498
California,28,31,50,286,366,562,412,426,435,241,264,6,"3,107"
Colorado,8,5,9,51,40,80,64,76,72,42,35,0,482
Connecticut,4,2,5,33,36,54,39,43,26,18,23,3,286
Delaware,1,1,0,7,8,15,19,15,14,8,11,0,99
Dist of Columbia,0,0,0,1,2,5,2,3,1,5,1,0,20
Florida,21,20,35,178,238,406,319,382,332,212,243,17,"2,403"
Georgia,18,14,30,117,102,202,162,192,151,98,89,5,"1,180"
Hawaii,2,1,1,10,13,23,11,18,9,6,8,0,102
Idaho,4,3,4,25,23,36,21,37,29,20,12,0,214
Illinois,14,13,17,93,94,169,142,159,115,77,98,0,991
Indiana,14,6,19,83,84,133,104,104,111,54,72,0,784
Iowa,2,3,5,28,40,46,34,48,44,29,38,0,317
Kansas,5,2,8,34,36,65,38,42,36,33,51,0,350
Kentucky,4,4,12,48,54,107,86,95,99,70,59,0,638
Louisiana,7,5,16,59,73,142,106,129,82,47,35,2,703
Maine,1,1,1,17,15,24,16,13,22,17,17,0,144
Maryland,10,6,7,38,46,81,57,83,72,34,29,2,465
Massachusetts,3,3,2,31,51,43,39,43,50,33,53,0,351
Michigan,9,7,20,84,75,135,129,163,128,88,109,0,947
Minnesota,4,9,8,31,37,59,39,56,58,37,49,0,387
Mississippi,8,7,5,55,46,107,85,116,107,35,42,0,613
Missouri,7,12,21,95,74,136,108,88,84,59,73,0,757
Montana,1,3,2,21,30,38,29,35,28,21,21,0,229
Nebraska,3,3,9,29,26,40,19,32,26,13,11,0,211
Nevada,3,2,7,21,23,56,32,49,29,18,26,0,266
New Hampshire,0,0,2,11,12,20,18,20,21,16,15,0,135
New Jersey,9,3,9,33,61,91,62,64,72,57,80,1,542
New Mexico,9,4,6,31,32,60,38,49,40,21,19,2,311
New York,17,12,15,115,117,198,126,160,154,123,157,8,"1,202"
North Carolina,21,16,19,101,140,215,183,208,169,123,95,0,"1,290"
North Dakota,2,0,3,14,16,29,25,35,16,6,2,0,148
Ohio,10,10,20,87,97,164,126,140,164,77,94,0,989
Oklahoma,12,11,17,55,58,108,99,109,105,50,54,0,678
Oregon,0,5,6,27,29,52,39,46,42,36,31,0,313
Pennsylvania,16,11,13,103,136,193,147,175,155,111,149,1,"1,210"
Rhode Island,0,1,0,6,9,10,8,6,4,5,16,0,65
South Carolina,5,4,6,69,77,144,121,128,108,53,51,1,767
South Dakota,0,0,2,10,13,28,18,15,21,13,15,0,135
Tennessee,8,10,13,79,100,179,151,144,118,109,84,0,995
Texas,46,38,64,336,374,635,513,518,418,231,212,4,"3,389"
Utah,4,0,6,19,14,30,33,29,38,24,23,0,220
Vermont,0,0,0,7,8,12,4,10,8,7,13,0,69
Virginia,3,5,6,63,72,137,85,118,94,88,69,0,740
Washington,3,5,11,53,47,66,54,71,52,33,41,0,436
West Virginia,3,6,6,29,28,66,43,55,44,26,26,0,332
Wisconsin,3,5,6,40,58,113,63,79,61,49,66,0,543
Wyoming,3,0,5,12,5,19,13,15,6,4,5,0,87
National,393,344,588,"2,977","3,331","5,757","4,398","4,966","4,368","2,755","2,961",55,"32,893"
Puerto Rico,5,4,4,31,33,56,42,45,52,28,31,13,344
,,,,,,,,,,,,,
Source: FARS 2013 Final,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 05/23/2019 at 10:59 PM",,,,,,,,,,,,,
