Table 112,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Persons Killed, by State and Age Group, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
State,Age Group (Years),,,,,,,,,,,,Total Killed
,<5,9-May,15-Oct,16-20,21-24,25-34,35-44,45-54,55-64,65-74,>74,Unknown,
Alabama,10,5,18,78,79,164,131,132,105,66,59,3,850
Alaska,0,1,1,2,8,11,14,9,6,6,7,0,65
Arizona,11,8,12,61,79,160,139,138,125,84,79,1,897
Arkansas,10,5,9,41,60,93,89,77,77,48,39,2,550
California,24,17,66,295,376,661,422,494,483,265,279,5,"3,387"
Colorado,2,4,7,41,58,106,73,76,85,54,41,0,547
Connecticut,3,6,5,22,20,46,34,53,37,24,20,0,270
Delaware,1,0,0,14,10,17,29,17,25,11,7,0,131
Dist of Columbia,0,0,0,0,2,8,2,3,4,2,2,0,23
Florida,23,23,40,234,309,469,393,451,429,257,282,28,"2,938"
Georgia,19,16,24,125,135,260,194,197,200,150,110,2,"1,432"
Hawaii,1,0,0,13,7,18,8,17,12,4,11,2,93
Idaho,3,4,6,24,20,29,31,33,29,22,15,0,216
Illinois,6,10,21,102,91,168,119,145,145,90,100,1,998
Indiana,11,9,22,83,73,121,103,129,121,66,79,0,817
Iowa,1,7,8,46,21,43,29,42,50,31,42,0,320
Kansas,3,9,8,40,30,50,43,53,53,35,31,0,355
Kentucky,12,11,16,66,77,123,117,120,100,69,49,1,761
Louisiana,13,8,17,64,68,159,103,116,104,56,42,2,752
Maine,2,0,0,10,16,27,20,28,19,11,23,0,156
Maryland,11,7,2,38,55,97,55,84,79,44,47,1,520
Massachusetts,1,3,2,24,53,65,33,41,42,42,36,2,344
Michigan,13,12,18,98,88,163,117,141,132,86,99,0,967
Minnesota,1,4,10,34,35,58,46,68,56,44,55,0,411
Mississippi,13,11,17,78,39,125,112,102,86,58,36,0,677
Missouri,2,7,16,91,77,166,97,136,112,82,84,0,870
Montana,1,1,6,28,22,44,29,31,22,27,13,0,224
Nebraska,0,5,3,23,29,51,28,33,39,12,23,0,246
Nevada,2,3,7,31,30,60,49,40,44,29,31,0,326
New Hampshire,0,0,0,8,10,17,14,18,24,8,15,0,114
New Jersey,7,5,8,37,58,92,69,81,76,58,70,0,561
New Mexico,2,8,4,21,33,73,45,39,37,20,16,0,298
New York,10,11,18,75,112,196,123,158,172,109,148,4,"1,136"
North Carolina,24,11,19,112,142,240,174,210,176,123,146,2,"1,379"
North Dakota,1,0,1,15,16,33,17,14,17,10,7,0,131
Ohio,4,5,23,122,106,178,147,164,136,112,112,1,"1,110"
Oklahoma,10,8,11,75,55,111,79,102,83,51,60,0,645
Oregon,3,6,5,24,36,71,84,60,79,49,29,0,446
Pennsylvania,10,8,16,121,101,209,135,206,151,114,128,1,"1,200"
Rhode Island,1,1,0,4,11,8,3,5,7,3,2,0,45
South Carolina,13,10,12,81,108,185,141,144,151,75,59,0,979
South Dakota,1,1,6,8,11,20,13,26,27,14,7,0,134
Tennessee,11,14,12,79,80,173,128,147,136,104,78,0,962
Texas,51,42,78,345,393,707,535,531,414,252,215,19,"3,582"
Utah,8,6,8,23,28,48,35,42,27,30,23,0,278
Vermont,1,0,1,4,6,5,7,12,9,7,5,0,57
Virginia,4,7,11,57,58,130,108,113,114,82,67,3,754
Washington,7,9,7,54,47,95,72,72,69,53,66,0,551
West Virginia,2,2,2,21,25,53,42,42,35,25,19,0,268
Wisconsin,8,0,9,45,45,101,55,92,72,59,80,0,566
Wyoming,2,4,0,10,16,37,22,20,23,7,4,0,145
National,379,354,612,"3,147","3,464","6,344","4,707","5,304","4,856","3,140","3,097",80,"35,484"
Puerto Rico,1,1,6,30,45,47,33,44,35,31,33,3,309
,,,,,,,,,,,,,
Source: FARS 2015 Final,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 05/23/2019 at 11:01 PM",,,,,,,,,,,,,
